blocker_type,feature_introduced,move_limit,objective_type,objective_amount,avg_daily_wins_before_first_attempt,avg_daily_attempts_before_first_attempt,avg_active_day_on_first_attempt,near_loss_wins_2_or_less_moves,near_win_losses_5_percent_or_less_objective,level_number,labeled_difficulty,median_attempts_per_winner,players,mid_match_quits,attempts,wins,first_attempt_win_streak_tier_0,first_attempt_win_streak_tier_1,first_attempt_win_streak_tier_2,first_attempt_win_streak_tier_3,median_moves_remaining_win,median_objective_pct_remaining_loss,median_base_coins_rewarded_win,median_move_coins_rewarded,first_attempt_winstreak_tier_1_wins,first_attempt_winstreak_tier_2_wins,first_attempt_winstreak_tier_3_wins,extra_moves_offered,extra_moves_purchased,extra_moves_wins,gold_extra_move_purchased,median_pgb_inventory_amount_first_attempt,median_igb_inventory_amount_first_attempt,median_gold_inventory_amount_first_attempt,median_customer_gold_inventory_amount_first_attempt,median_90th_percentile_customer_gold_inventory_amount_first_attempt,median_95th_percentile_customer_gold_inventory_amount_first_attempt,median_99th_percentile_customer_gold_inventory_amount_first_attempt,pgb_purchased,gold_pgb_sink,pgb_amount_used,igb_purchased,igb_gold_pbg_sink,igb_amount_used,average_moves_coins_rewarded,balance_patch_version,retained_players_to_next_level
candy caramel pie red_white_candy_machine,,28,caramel pie red_white_candy,40,37.111111111111114,77.0,154.61111111111111,5,0,1468,normal,1.0,18,0,20,20,0,2,0,16,5.5,0.45,,,1,0,15,2,2,2,,12.5,6.0,6833.0,308.0,870.0,870.0,870.0,,,12,,,,,1.0.1746,18
candy caramel pie red_white_candy_machine,,28,caramel pie red_white_candy,40,22.176470588235293,46.705882352941174,198.35294117647058,5,0,1468,normal,1.0,17,0,20,20,0,3,2,12,7.0,0.325,,,3,2,11,3,1,1,,48.0,17.0,1680.0,2389.0,2389.0,2389.0,2389.0,,,8,,,,,1.0.1781,17
candy caramel pie red_white_candy_machine,,28,caramel pie red_white_candy,40,27.444444444444443,57.22222222222222,122.55555555555556,3,2,1468,normal,1.0,9,1,14,13,0,0,3,6,3.0,0.0625,,,0,0,6,4,0,0,,28.0,3.0,1218.0,3525.0,6482.0,6482.0,6482.0,,,5,,,,,1.0.1820,9
candy caramel pie red_white_candy_machine,,28,caramel pie red_white_candy,40,51.875,112.625,190.625,0,0,1468,normal,1.0,8,0,8,8,0,0,0,8,6.5,,,,0,0,8,,0,0,,22.0,27.5,5120.5,3234.5,4986.0,4986.0,4986.0,,,2,,,,,1.0.1895,8
bubble bubble_spawner candy licorice_machine macarons,,29,bubble licorice macarons,78,36.05555555555556,74.88888888888889,154.66666666666666,8,3,1469,super_hard,3.0,19,15,93,78,0,2,1,15,3.0,0.21794871794871795,,,0,1,8,59,7,5,,12.5,6.0,6857.5,333.0,911.0,911.0,911.0,,,48,,,,,1.0.1746,19
bubble bubble_spawner candy licorice_machine macarons,,29,bubble licorice macarons,78,23.352941176470587,49.05882352941177,198.35294117647058,13,3,1469,super_hard,1.0,17,4,46,42,0,1,3,13,2.0,0.1923076923076923,,,0,0,11,25,3,3,,48.0,17.0,1694.0,2417.0,2417.0,2417.0,2417.0,,,18,,,,,1.0.1781,17
bubble bubble_spawner candy licorice_machine macarons,,29,bubble licorice macarons,78,25.333333333333332,52.888888888888886,122.66666666666667,5,1,1469,super_hard,5.5,9,10,48,38,0,3,0,6,2.5,0.27564102564102566,,,0,0,3,28,4,4,,28.0,3.0,1303.0,3544.5,6503.0,6503.0,6503.0,,,25,,,,,1.0.1820,9
bubble bubble_spawner candy licorice_machine macarons,,29,bubble licorice macarons,78,44.125,96.375,190.75,7,0,1469,super_hard,1.0,8,2,13,11,0,0,0,8,1.0,0.23076923076923075,,,0,0,6,3,1,1,,22.0,27.5,5150.0,3260.5,5022.0,5022.0,5022.0,,,6,,,,,1.0.1895,8
candy melon_plant soda violet_portal yellow_portal,,30,melon_plant melon_slice soda,72,35.63157894736842,73.94736842105263,175.1578947368421,4,2,1470,normal,1.0,19,0,21,21,0,10,0,9,8.0,0.027777777777777776,,,8,0,9,2,0,0,,10.0,8.0,9489.0,3789.0,9489.0,9489.0,9489.0,,,11,,,,,1.0.1746,19
candy melon_plant soda violet_portal yellow_portal,,30,melon_plant melon_slice soda,72,23.647058823529413,49.705882352941174,198.52941176470588,2,1,1470,normal,1.0,17,0,19,19,0,6,0,11,8.0,0.04166666666666667,,,6,0,9,2,0,0,,49.0,17.0,1856.0,3079.0,3079.0,3079.0,3079.0,,,13,,,,,1.0.1781,17
candy melon_plant soda violet_portal yellow_portal,,30,melon_plant melon_slice soda,72,25.11111111111111,53.333333333333336,122.88888888888889,3,0,1470,normal,1.0,9,0,11,11,0,6,0,3,3.0,0.09027777777777778,,,4,0,3,2,0,0,,28.0,3.0,1139.0,3457.0,6058.0,6058.0,6058.0,,,5,,,,,1.0.1820,9
candy melon_plant soda violet_portal yellow_portal,,30,melon_plant melon_slice soda,72,45.5,99.375,190.75,1,0,1470,normal,1.0,8,2,10,8,0,2,0,6,8.0,,,,2,0,6,,1,1,,20.5,26.0,5309.0,2967.5,5181.0,5181.0,5181.0,,,1,,,,,1.0.1895,8
candy cookie ice_cream,,23,colored_cookie ice_cream,53,34.26315789473684,71.21052631578948,175.21052631578948,8,1,1471,normal,1.0,19,0,21,21,0,2,8,9,3.0,0.14150943396226415,,,2,6,9,2,2,2,,9.0,8.0,9517.0,3822.5,9517.0,9517.0,9517.0,,,11,,,,,1.0.1746,19
candy cookie ice_cream,,23,colored_cookie ice_cream,53,24.764705882352942,51.94117647058823,198.52941176470588,8,1,1471,normal,1.0,17,1,26,25,0,2,6,9,3.0,0.14150943396226415,,,2,3,6,8,0,0,,52.0,18.0,1886.0,3090.0,3090.0,3090.0,3090.0,,,15,,,,,1.0.1781,17
candy cookie ice_cream,,23,colored_cookie ice_cream,53,26.333333333333332,55.77777777777778,122.88888888888889,3,0,1471,normal,1.0,9,0,10,10,0,2,4,3,4.0,0.24528301886792453,,,1,4,3,1,1,1,,28.0,3.0,1171.0,3489.0,6091.0,6091.0,6091.0,,,2,,,,,1.0.1820,9
candy cookie ice_cream,,23,colored_cookie ice_cream,53,46.5,101.625,190.75,2,0,1471,normal,1.0,8,0,8,8,0,0,2,6,7.0,,,,0,2,6,,0,0,,20.5,26.0,4878.0,3003.0,5207.0,5207.0,5207.0,,,1,,,,,1.0.1895,8
bubble bubble_spawner candy cookie milkshake,,26,bubble colored_cookie,53,33.8,70.2,193.55,10,1,1472,normal,1.0,19,6,40,34,0,2,2,16,2.5,0.1792452830188679,,,1,0,14,14,3,3,,14.5,6.5,7600.0,1123.0,8640.0,8640.0,8640.0,,,21,,,,,1.0.1746,19
bubble bubble_spawner candy cookie milkshake,,26,bubble colored_cookie,53,26.235294117647058,54.94117647058823,198.52941176470588,8,1,1472,normal,1.0,17,2,30,28,0,6,2,9,3.0,0.3018867924528302,,,1,1,8,11,3,3,,52.0,17.0,2791.0,3117.0,3117.0,3117.0,3117.0,,,15,,,,,1.0.1781,17
bubble bubble_spawner candy cookie milkshake,,26,bubble colored_cookie,53,27.444444444444443,58.0,122.88888888888889,5,0,1472,normal,1.0,9,0,11,11,0,1,1,7,2.0,0.10377358490566038,,,1,1,5,2,0,0,,28.0,4.0,1187.0,3513.0,6112.0,6112.0,6112.0,,,4,,,,,1.0.1820,9
bubble bubble_spawner candy cookie milkshake,,26,bubble colored_cookie,53,47.5,103.625,190.75,3,0,1472,normal,1.0,8,0,8,8,0,0,0,8,3.0,,,,0,0,8,,1,1,,20.5,26.0,4916.5,3053.0,5249.0,5249.0,5249.0,,,1,,,,,1.0.1895,8
candy jelly melon_plant,,26,jelly melon_plant melon_slice,44,33.0,68.63157894736842,175.31578947368422,7,2,1473,normal,1.0,19,2,29,27,0,5,1,13,4.0,0.06818181818181818,,,3,0,11,8,1,1,,9.0,8.0,7752.0,3870.5,7752.0,7752.0,7752.0,,,13,,,,,1.0.1746,19
candy jelly melon_plant,,26,jelly melon_plant melon_slice,44,27.41176470588235,57.35294117647059,198.58823529411765,5,1,1473,normal,1.0,17,2,36,34,0,7,1,9,3.0,0.25,,,2,1,8,17,3,3,,52.0,17.0,1909.0,3547.0,3547.0,3547.0,3547.0,,,11,,,,,1.0.1781,17
candy jelly melon_plant,,26,jelly melon_plant melon_slice,44,28.666666666666668,60.44444444444444,122.88888888888889,0,1,1473,normal,1.0,9,2,24,22,0,2,1,6,5.0,0.29545454545454547,,,1,0,6,14,1,0,,28.0,5.0,1200.0,3542.5,6149.0,6149.0,6149.0,,,14,,,,,1.0.1820,9
candy jelly melon_plant,,26,jelly melon_plant melon_slice,44,48.5,105.625,190.75,4,0,1473,normal,1.0,8,0,9,9,0,0,0,8,3.5,0.1590909090909091,,,0,0,7,1,0,0,,20.5,26.0,4937.5,3079.5,5267.0,5267.0,5267.0,,,2,,,,,1.0.1895,8
candy honeycomb soda waffle,,28,honeycomb soda waffle,99,33.73684210526316,70.10526315789474,175.47368421052633,2,1,1474,normal,1.0,19,0,20,20,0,5,3,11,6.0,0.020202020202020204,,,4,3,11,1,0,0,,13.0,5.0,7774.0,3909.0,7774.0,7774.0,7774.0,,,10,,,,,1.0.1746,19
candy honeycomb soda waffle,,28,honeycomb soda waffle,99,27.764705882352942,57.588235294117645,198.7058823529412,1,0,1474,normal,1.0,17,0,20,20,1,5,2,9,8.0,0.09090909090909091,,,3,2,9,3,0,0,,52.0,17.0,1924.0,3568.0,3568.0,3568.0,3568.0,,,6,,,,,1.0.1781,17
